"codename","rowid","cid","fid","filename","index1","index2","CodingLength","nome_consel","entidade_sigla","categoria1","categoria2"
"darlany_benedita_sa_rocha_mpa_pe",165,71,24,"meeting_03",4774,4788,14,"darlany_benedita_sa_rocha","mpa_pe","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",2391,114,52,"meeting_29",12488,12694,206,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1314,114,33,"meeting_10",7780,7805,25,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1040,114,31,"meeting_12",2475,2500,25,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1482,114,19,"meeting_20",1988,2005,17,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1004,114,16,"meeting_11",4698,4705,7,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1627,114,20,"meeting_21",9787,9814,27,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1889,114,46,"meeting_24",15933,16235,302,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1025,114,16,"meeting_11",7854,7861,7,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1755,114,21,"meeting_22",18322,18329,7,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",2354,114,52,"meeting_29",1842,2556,714,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",1332,114,33,"meeting_10",9983,9990,7,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"fabiano_pimentel_ribeiro_cepene",987,114,16,"meeting_11",2079,2112,33,"fabiano_pimentel_ribeiro","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",883,20,2,"meeting_09",10185,10199,14,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",127,20,13,"meeting_06",15348,15362,14,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1304,20,33,"meeting_10",6239,6253,14,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1290,20,33,"meeting_10",4361,4385,24,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",891,20,2,"meeting_09",15083,15103,20,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1184,20,17,"meeting_14",7489,7507,18,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1481,20,19,"meeting_20",1802,1832,30,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1340,20,33,"meeting_10",10722,10731,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",634,20,27,"meeting_02",5461,5494,33,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",111,20,13,"meeting_06",10400,10414,14,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1359,20,33,"meeting_10",16049,16058,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1553,20,19,"meeting_20",15353,15362,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",166,20,24,"meeting_03",4797,4819,22,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",28,20,1,"meeting_08",4494,4514,20,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1003,20,16,"meeting_11",4666,4675,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",780,20,1,"meeting_08",6710,6719,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1571,20,19,"meeting_20",20168,20177,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",831,20,1,"meeting_08",11632,11646,14,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1030,20,16,"meeting_11",10723,10732,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",857,20,2,"meeting_09",1967,1990,23,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",196,20,12,"meeting_05",6104,6128,24,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1023,20,16,"meeting_11",7415,7424,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1121,20,31,"meeting_12",19509,19518,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1113,20,31,"meeting_12",17988,17997,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1536,20,19,"meeting_20",11768,11777,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",984,20,16,"meeting_11",1026,1090,64,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1008,20,16,"meeting_11",5072,5081,9,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",632,20,27,"meeting_02",5303,5336,33,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1195,20,17,"meeting_14",8933,8951,18,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1134,20,31,"meeting_12",18958,18976,18,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",636,20,27,"meeting_02",5690,5723,33,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"jose_heriberto_menezes_de_lima_cepene",1368,20,35,"meeting_15",1063,1092,29,"jose_heriberto_menezes_de_lima","cepene","gestao_publica","poder_publico"
"juvenita_lucena_de_albuquerque_fundaj",783,61,1,"meeting_08",7533,7548,15,"juvenita_lucena_de_albuquerque","fundaj","instituicao_de_ensino_e_pesquisa","poder_publico"
"juvenita_lucena_de_albuquerque_fundaj",112,61,13,"meeting_06",10417,10434,17,"juvenita_lucena_de_albuquerque","fundaj","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",864,16,2,"meeting_09",3949,3955,6,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",785,16,1,"meeting_08",7761,7777,16,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",26,16,1,"meeting_08",3752,3768,16,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",2183,16,49,"meeting_27",11852,11959,107,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",63,16,4,"meeting_01",4036,4052,16,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",1277,16,33,"meeting_10",2868,2893,25,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",1118,16,31,"meeting_12",18811,18825,14,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",694,16,24,"meeting_03",5512,5549,37,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",1363,16,33,"meeting_10",16082,16088,6,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",1070,16,31,"meeting_12",10132,10157,25,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"karine_matos_magalhaes_ufrpe",845,16,1,"meeting_08",16657,16673,16,"karine_matos_magalhaes","ufrpe","instituicao_de_ensino_e_pesquisa","poder_publico"
"ligia_albuquerque_de_melo_fundaj",1740,150,21,"meeting_22",14500,14505,5,"ligia_albuquerque_de_melo","fundaj","instituicao_de_ensino_e_pesquisa","poder_publico"
"marcelo_bastos_francoso_icmbio",139,21,24,"meeting_03",2051,2067,16,"marcelo_bastos_francoso","icmbio","gestao_publica","poder_publico"
